Date,SEMA.MI
2010-01-18,19.229999542236328
2010-01-19,19.450000762939453
2010-01-20,19.18000030517578
2010-01-21,19.09000015258789
2010-01-22,18.59000015258789
2010-01-25,18.600000381469727
2010-01-26,18.600000381469727
2010-01-27,18.049999237060547
2010-01-28,18.450000762939453
2010-01-29,18.549999237060547
2010-02-01,18.549999237060547
2010-02-02,18.549999237060547
2010-02-03,18.639999389648438
2010-02-04,18.639999389648438
2010-02-05,18.030000686645508
2010-02-08,18.030000686645508
2010-02-09,18.350000381469727
2010-02-10,18.350000381469727
2010-02-11,18.350000381469727
2010-02-12,18.350000381469727
2010-02-15,18.639999389648438
2010-02-16,18.639999389648438
2010-02-17,18.639999389648438
2010-02-18,18.639999389648438
2010-02-19,18.639999389648438
2010-02-22,19.0
2010-02-23,18.780000686645508
2010-02-24,18.770000457763672
2010-02-25,18.600000381469727
2010-02-26,18.690000534057617
2010-03-01,19.260000228881836
2010-03-02,19.43000030517578
2010-03-03,19.389999389648438
2010-03-04,19.25
2010-03-05,19.649999618530273
2010-03-08,19.709999084472656
2010-03-09,19.899999618530273
2010-03-10,20.010000228881836
2010-03-11,19.920000076293945
2010-03-12,19.84000015258789
2010-03-15,19.5
2010-03-16,19.780000686645508
2010-03-17,20.09000015258789
2010-03-18,20.170000076293945
2010-03-19,20.239999771118164
2010-03-22,20.1200008392334
2010-03-23,20.190000534057617
2010-03-24,20.3799991607666
2010-03-25,20.420000076293945
2010-03-26,20.110000610351562
2010-03-29,20.459999084472656
2010-03-30,20.610000610351562
2010-03-31,20.56999969482422
2010-04-01,20.899999618530273
2010-04-06,21.40999984741211
2010-04-07,21.5
2010-04-08,21.290000915527344
2010-04-09,21.3799991607666
2010-04-12,21.110000610351562
2010-04-13,20.959999084472656
2010-04-14,21.1200008392334
2010-04-15,21.25
2010-04-16,21.100000381469727
2010-04-19,20.719999313354492
2010-04-20,20.899999618530273
2010-04-21,21.020000457763672
2010-04-22,20.899999618530273
2010-04-23,21.149999618530273
2010-04-26,21.43000030517578
2010-04-27,21.15999984741211
2010-04-28,20.81999969482422
2010-04-29,21.0
2010-04-30,21.139999389648438
2010-05-03,21.010000228881836
2010-05-04,20.579999923706055
2010-05-05,20.639999389648438
2010-05-06,20.479999542236328
2010-05-07,20.06999969482422
2010-05-10,20.84000015258789
2010-05-11,20.850000381469727
2010-05-12,21.040000915527344
2010-05-13,21.389999389648438
2010-05-14,20.93000030517578
2010-05-17,20.989999771118164
2010-05-18,21.09000015258789
2010-05-19,20.329999923706055
2010-05-20,19.540000915527344
2010-05-21,19.229999542236328
2010-05-24,19.81999969482422
2010-05-25,19.200000762939453
2010-05-26,19.860000610351562
2010-05-27,20.520000457763672
2010-05-28,20.600000381469727
2010-05-31,20.639999389648438
2010-06-01,20.43000030517578
2010-06-02,20.510000228881836
2010-06-03,20.8700008392334
2010-06-04,21.0
2010-06-07,20.670000076293945
2010-06-08,20.43000030517578
2010-06-09,20.68000030517578
2010-06-10,20.639999389648438
2010-06-11,20.989999771118164
2010-06-14,21.139999389648438
2010-06-15,21.1200008392334
2010-06-16,21.110000610351562
2010-06-17,21.190000534057617
2010-06-18,21.31999969482422
2010-06-21,21.770000457763672
2010-06-22,21.760000228881836
2010-06-23,21.479999542236328
2010-06-24,21.139999389648438
2010-06-25,21.170000076293945
2010-06-28,21.219999313354492
2010-06-29,20.81999969482422
2010-06-30,20.649999618530273
2010-07-01,20.299999237060547
2010-07-02,19.920000076293945
2010-07-05,20.1299991607666
2010-07-06,20.389999389648438
2010-07-07,19.93000030517578
2010-07-08,20.489999771118164
2010-07-09,20.799999237060547
2010-07-12,20.934999465942383
2010-07-13,21.0
2010-07-14,20.854999542236328
2010-07-15,20.5
2010-07-16,20.045000076293945
2010-07-19,20.0049991607666
2010-07-20,20.360000610351562
2010-07-21,20.674999237060547
2010-07-22,20.96500015258789
2010-07-23,21.045000076293945
2010-07-26,21.075000762939453
2010-07-27,21.1299991607666
2010-07-28,20.959999084472656
2010-07-29,20.899999618530273
2010-07-30,21.0049991607666
2010-08-02,21.405000686645508
2010-08-03,21.19499969482422
2010-08-04,21.209999084472656
2010-08-05,21.239999771118164
2010-08-06,21.045000076293945
2010-08-09,21.2549991607666
2010-08-10,21.125
2010-08-11,20.979999542236328
2010-08-12,20.969999313354492
2010-08-13,21.19499969482422
2010-08-16,21.139999389648438
2010-08-17,21.395000457763672
2010-08-18,21.385000228881836
2010-08-19,21.600000381469727
2010-08-20,21.360000610351562
2010-08-23,21.604999542236328
2010-08-24,21.18000030517578
2010-08-25,20.950000762939453
2010-08-26,21.114999771118164
2010-08-27,21.084999084472656
2010-08-30,21.260000228881836
2010-08-31,21.010000228881836
2010-09-01,21.290000915527344
2010-09-02,21.559999465942383
2010-09-03,21.704999923706055
2010-09-06,21.790000915527344
2010-09-07,21.770000457763672
2010-09-08,21.875
2010-09-09,22.0049991607666
2010-09-10,22.139999389648438
2010-09-13,22.399999618530273
2010-09-14,22.364999771118164
2010-09-15,22.165000915527344
2010-09-16,21.934999465942383
2010-09-17,22.030000686645508
2010-09-20,22.05500030517578
2010-09-21,22.094999313354492
2010-09-22,21.68000030517578
2010-09-23,21.709999084472656
2010-09-24,21.739999771118164
2010-09-27,21.774999618530273
2010-09-28,21.639999389648438
2010-09-29,21.700000762939453
2010-09-30,21.799999237060547
2010-10-01,21.860000610351562
2010-10-04,22.010000228881836
2010-10-05,21.920000076293945
2010-10-06,22.100000381469727
2010-10-07,21.809999465942383
2010-10-08,21.799999237060547
