Date,EM710.MI
2008-01-02,102.20999908447266
2008-01-03,102.16999816894531
2008-01-04,103.27999877929688
2008-01-07,103.55999755859375
2008-01-08,103.69999694824219
2008-01-09,103.80000305175781
2008-01-10,103.93000030517578
2008-01-11,103.70999908447266
2008-01-14,104.08000183105469
2008-01-15,104.30000305175781
2008-01-16,104.87000274658203
2008-01-17,104.75
2008-01-18,105.11000061035156
2008-01-21,105.2699966430664
2008-01-22,105.8499984741211
2008-01-23,105.31999969482422
2008-01-24,105.30999755859375
2008-01-25,104.55000305175781
2008-01-28,105.19000244140625
2008-01-29,105.12000274658203
2008-01-30,105.1500015258789
2008-01-31,104.98999786376953
2008-02-01,105.31999969482422
2008-02-04,105.54000091552734
2008-02-05,105.69000244140625
2008-02-06,106.12999725341797
2008-02-07,105.86000061035156
2008-02-08,105.77999877929688
2008-02-11,106.4000015258789
2008-02-12,106.12999725341797
2008-02-13,105.58999633789062
2008-02-14,105.52999877929688
2008-02-15,105.48999786376953
2008-02-18,105.37000274658203
2008-02-19,105.51000213623047
2008-02-20,105.23999786376953
2008-02-21,105.16999816894531
2008-02-22,105.2699966430664
2008-02-25,104.95999908447266
2008-02-26,104.95999908447266
2008-02-27,104.91000366210938
2008-02-28,105.11000061035156
2008-02-29,105.8499984741211
2008-03-03,106.30000305175781
2008-03-04,106.31999969482422
2008-03-05,106.18000030517578
2008-03-06,105.95999908447266
2008-03-07,106.1500015258789
2008-03-10,106.37999725341797
2008-03-11,106.54000091552734
2008-03-12,106.30999755859375
2008-03-13,106.6500015258789
2008-03-14,106.69000244140625
2008-03-17,107.0999984741211
2008-03-18,106.7300033569336
2008-03-19,106.69999694824219
2008-03-20,106.5999984741211
2008-03-25,105.9000015258789
2008-03-26,105.44999694824219
2008-03-27,105.31999969482422
2008-03-28,105.30000305175781
2008-03-31,105.43000030517578
2008-04-01,105.5999984741211
2008-04-02,105.2699966430664
2008-04-03,105.1500015258789
2008-04-04,105.12000274658203
2008-04-07,105.26000213623047
2008-04-08,105.22000122070312
2008-04-09,105.13999938964844
2008-04-10,105.55000305175781
2008-04-11,105.23999786376953
2008-04-14,105.80000305175781
2008-04-15,105.69999694824219
2008-04-16,105.2300033569336
2008-04-17,104.80000305175781
2008-04-18,104.56999969482422
2008-04-21,104.27999877929688
2008-04-22,104.19999694824219
2008-04-23,104.20999908447266
2008-04-24,104.4800033569336
2008-04-25,104.08999633789062
2008-04-28,103.97000122070312
2008-04-29,104.1500015258789
2008-04-30,104.37999725341797
2008-05-02,104.5999984741211
2008-05-05,104.20999908447266
2008-05-06,104.43000030517578
2008-05-07,104.31999969482422
2008-05-08,104.75
2008-05-09,105.23999786376953
2008-05-12,105.2300033569336
2008-05-13,105.25
2008-05-14,104.44999694824219
2008-05-15,104.06999969482422
2008-05-16,104.19999694824219
2008-05-19,104.41999816894531
2008-05-20,104.31999969482422
2008-05-21,104.08000183105469
2008-05-22,103.91000366210938
2008-05-23,103.8499984741211
2008-05-26,103.77999877929688
2008-05-27,103.7300033569336
2008-05-28,103.54000091552734
2008-05-29,102.9000015258789
2008-05-30,102.88999938964844
2008-06-02,103.11000061035156
2008-06-03,103.41999816894531
2008-06-04,103.23999786376953
2008-06-05,102.91000366210938
2008-06-06,102.54000091552734
2008-06-09,103.0199966430664
2008-06-10,101.7699966430664
2008-06-11,101.8499984741211
2008-06-12,101.52999877929688
2008-06-13,100.9800033569336
2008-06-16,100.94999694824219
2008-06-17,101.08000183105469
2008-06-18,101.16999816894531
2008-06-19,101.1500015258789
2008-06-20,100.87999725341797
2008-06-23,101.52999877929688
2008-06-24,101.37999725341797
2008-06-25,101.33000183105469
2008-06-26,101.4800033569336
2008-06-27,102.26000213623047
2008-06-30,101.97000122070312
2008-07-01,101.3499984741211
2008-07-02,101.12000274658203
2008-07-03,100.83000183105469
2008-07-04,102.06999969482422
2008-07-07,102.5
2008-07-08,102.80000305175781
2008-07-09,102.56999969482422
2008-07-10,102.83999633789062
2008-07-11,102.86000061035156
2008-07-14,102.55999755859375
2008-07-15,102.94999694824219
2008-07-16,103.1500015258789
2008-07-17,102.63999938964844
2008-07-18,102.61000061035156
2008-07-21,101.75
2008-07-22,101.58000183105469
2008-07-23,101.19999694824219
2008-07-24,101.7300033569336
2008-07-25,102.26000213623047
2008-07-28,102.08000183105469
2008-07-29,102.43000030517578
2008-07-30,103.13999938964844
2008-07-31,103.0199966430664
2008-08-01,103.38999938964844
2008-08-04,103.44999694824219
2008-08-05,103.68000030517578
2008-08-06,103.95999908447266
2008-08-07,103.87999725341797
2008-08-08,104.61000061035156
2008-08-11,104.69999694824219
2008-08-12,104.75
2008-08-13,104.73999786376953
2008-08-14,104.8499984741211
2008-08-18,105.33999633789062
2008-08-19,105.51000213623047
2008-08-20,105.0199966430664
2008-08-21,105.25
2008-08-22,105.12000274658203
2008-08-25,105.30000305175781
2008-08-26,105.68000030517578
2008-08-27,105.66999816894531
2008-08-28,105.30000305175781
2008-08-29,105.2699966430664
2008-09-01,105.27999877929688
2008-09-02,105.16999816894531
2008-09-03,105.58999633789062
2008-09-04,105.08000183105469
2008-09-05,106.11000061035156
2008-09-08,106.5
2008-09-09,105.77999877929688
2008-09-10,106.08000183105469
2008-09-11,105.9000015258789
2008-09-12,105.66999816894531
2008-09-15,106.5
2008-09-16,106.52999877929688
2008-09-17,106.02999877929688
2008-09-18,106.5
2008-09-19,105.13999938964844
2008-09-22,104.7699966430664
2008-09-23,104.62999725341797
2008-09-24,105.0
2008-09-25,105.12999725341797
