Date,X57E.MI
2008-01-02,147.6999969482422
2008-01-03,147.97999572753906
2008-01-04,148.4199981689453
2008-01-07,148.44000244140625
2008-01-08,148.13999938964844
2008-01-09,148.69000244140625
2008-01-10,148.6300048828125
2008-01-11,148.69000244140625
2008-01-14,149.10000610351562
2008-01-15,149.38999938964844
2008-01-16,149.88999938964844
2008-01-17,149.92999267578125
2008-01-18,150.22999572753906
2008-01-21,150.69000244140625
2008-01-22,150.22999572753906
2008-01-23,150.9499969482422
2008-01-24,149.94000244140625
2008-01-25,149.9199981689453
2008-01-28,150.3800048828125
2008-01-29,150.0500030517578
2008-01-30,149.99000549316406
2008-01-31,150.77000427246094
2008-02-01,150.85000610351562
2008-02-04,150.77000427246094
2008-02-05,151.6699981689453
2008-02-06,151.41000366210938
2008-02-07,152.13999938964844
2008-02-08,152.14999389648438
2008-02-11,152.27000427246094
2008-02-12,151.6699981689453
2008-02-13,151.75
2008-02-14,151.39999389648438
2008-02-15,151.67999267578125
2008-02-18,151.11000061035156
2008-02-19,151.3699951171875
2008-02-20,151.3300018310547
2008-02-21,150.9199981689453
2008-02-22,151.0399932861328
2008-02-25,150.80999755859375
2008-02-26,150.52000427246094
2008-02-27,150.52999877929688
2008-02-28,151.41000366210938
2008-02-29,152.3000030517578
2008-03-03,152.47999572753906
2008-03-04,152.63999938964844
2008-03-05,152.47999572753906
2008-03-06,152.0500030517578
2008-03-07,151.9499969482422
2008-03-10,152.77000427246094
2008-03-11,152.11000061035156
2008-03-12,152.19000244140625
2008-03-13,152.5800018310547
2008-03-14,152.5800018310547
2008-03-17,153.27000427246094
2008-03-18,152.36000061035156
2008-03-19,151.7899932861328
2008-03-20,151.63999938964844
2008-03-25,150.47000122070312
2008-03-26,150.47999572753906
2008-03-27,150.67999267578125
2008-03-28,150.44000244140625
2008-03-31,150.88999938964844
2008-04-01,150.80999755859375
2008-04-02,150.1699981689453
2008-04-03,150.39999389648438
2008-04-04,150.60000610351562
2008-04-07,150.00999450683594
2008-04-08,150.1199951171875
2008-04-09,150.32000732421875
2008-04-10,150.60000610351562
2008-04-11,151.16000366210938
2008-04-14,151.14999389648438
2008-04-15,151.2100067138672
2008-04-16,149.9600067138672
2008-04-17,149.41000366210938
2008-04-18,148.80999755859375
2008-04-21,149.19000244140625
2008-04-22,148.72000122070312
2008-04-23,149.0
2008-04-24,148.97000122070312
2008-04-25,148.94000244140625
2008-04-28,148.9499969482422
2008-04-29,149.47999572753906
2008-04-30,149.5
2008-05-02,148.94000244140625
2008-05-05,149.24000549316406
2008-05-06,149.69000244140625
2008-05-07,149.52999877929688
2008-05-08,150.22999572753906
2008-05-09,150.6300048828125
2008-05-12,150.27999877929688
2008-05-13,149.72000122070312
2008-05-14,149.13999938964844
2008-05-15,148.75999450683594
2008-05-16,149.14999389648438
2008-05-19,149.0500030517578
2008-05-20,149.10000610351562
2008-05-21,148.5500030517578
2008-05-22,148.24000549316406
2008-05-23,148.42999267578125
2008-05-26,148.25
2008-05-27,148.24000549316406
2008-05-28,147.99000549316406
2008-05-29,147.3300018310547
2008-05-30,147.33999633789062
2008-06-02,147.89999389648438
2008-06-03,147.3300018310547
2008-06-04,148.02000427246094
2008-06-05,146.77999877929688
2008-06-06,146.75999450683594
2008-06-09,145.7899932861328
2008-06-10,145.75999450683594
2008-06-11,145.94000244140625
2008-06-12,145.39999389648438
2008-06-13,144.7100067138672
2008-06-16,144.72999572753906
2008-06-17,148.02000427246094
2008-06-18,145.0399932861328
2008-06-19,144.72999572753906
2008-06-20,145.08999633789062
2008-06-23,145.41000366210938
2008-06-24,144.72999572753906
2008-06-25,145.61000061035156
2008-06-26,145.72999572753906
2008-06-27,146.3800048828125
2008-06-30,145.3300018310547
2008-07-01,145.4600067138672
2008-07-02,145.05999755859375
2008-07-03,146.07000732421875
2008-07-04,146.63999938964844
2008-07-07,147.14999389648438
2008-07-08,147.17999267578125
2008-07-09,147.14999389648438
2008-07-10,147.30999755859375
2008-07-11,147.52000427246094
2008-07-14,147.4199981689453
2008-07-15,147.61000061035156
2008-07-16,147.42999267578125
2008-07-17,147.02999877929688
2008-07-18,145.9199981689453
2008-07-21,145.55999755859375
2008-07-22,145.67999267578125
2008-07-23,145.60000610351562
2008-07-24,146.6199951171875
2008-07-25,146.4199981689453
2008-07-28,147.1300048828125
2008-07-29,147.49000549316406
2008-07-30,147.94000244140625
2008-07-31,148.3800048828125
2008-08-01,148.3699951171875
2008-08-04,148.6199951171875
2008-08-05,148.7899932861328
2008-08-06,148.80999755859375
2008-08-07,149.8300018310547
2008-08-08,149.97999572753906
2008-08-11,149.8000030517578
2008-08-12,150.22000122070312
2008-08-13,150.52000427246094
2008-08-14,150.3800048828125
2008-08-18,150.9499969482422
2008-08-19,150.9600067138672
2008-08-20,151.0
2008-08-21,150.50999450683594
2008-08-22,150.07000732421875
2008-08-25,151.0800018310547
2008-08-26,151.14999389648438
2008-08-27,150.42999267578125
2008-08-28,150.24000549316406
2008-08-29,150.25
2008-09-01,150.89999389648438
2008-09-02,150.6300048828125
2008-09-03,150.85000610351562
2008-09-04,151.17999267578125
2008-09-05,152.0800018310547
2008-09-08,151.49000549316406
2008-09-09,151.69000244140625
2008-09-10,151.67999267578125
2008-09-11,151.35000610351562
2008-09-12,150.5800018310547
2008-09-15,151.8800048828125
2008-09-16,152.5
2008-09-17,151.9199981689453
2008-09-18,151.58999633789062
2008-09-19,149.66000366210938
2008-09-22,149.5500030517578
2008-09-23,149.8699951171875
2008-09-24,150.61000061035156
