Date,CBE3.L
2010-10-01,102.01000213623047
2010-11-01,102.01000213623047
2010-12-01,102.01000213623047
2011-01-01,102.01000213623047
2011-02-01,101.52999877929688
2011-03-01,101.52999877929688
2011-04-01,101.18499755859375
2011-05-01,101.11000061035156
2011-06-01,101.58499908447266
2011-07-01,101.61499786376953
2011-08-01,101.42500305175781
2011-09-01,102.93000030517578
2011-10-01,103.06500244140625
2011-11-01,102.63500213623047
2011-12-01,101.58499908447266
2012-01-01,103.58999633789062
2012-02-01,104.91000366210938
2012-03-01,105.61000061035156
2012-04-01,105.46499633789062
2012-05-01,105.23999786376953
2012-06-01,104.65499877929688
2012-07-01,105.24500274658203
2012-08-01,105.51499938964844
2012-09-01,106.47000122070312
2012-10-01,106.87000274658203
2012-11-01,107.0999984741211
2012-12-01,107.45999908447266
2013-01-01,107.62000274658203
2013-02-01,107.625
2013-03-01,107.7699966430664
2013-04-01,108.0199966430664
2013-05-01,108.5999984741211
2013-06-01,108.37000274658203
2013-07-01,108.1050033569336
2013-08-01,108.41000366210938
2013-09-01,108.37999725341797
2013-10-01,108.73999786376953
2013-11-01,109.21499633789062
2013-12-01,109.3499984741211
2014-01-01,109.44000244140625
2014-02-01,109.79000091552734
2014-03-01,109.87999725341797
2014-04-01,109.9749984741211
2014-05-01,110.0999984741211
2014-06-01,110.2699966430664
2014-07-01,110.54499816894531
2014-08-01,110.62999725341797
2014-09-01,110.81999969482422
2014-10-01,110.9000015258789
2014-11-01,110.58000183105469
2014-12-01,110.75499725341797
2015-01-01,110.99500274658203
2015-02-01,111.08999633789062
2015-03-01,111.34500122070312
2015-04-01,111.47000122070312
2015-05-01,111.48500061035156
2015-06-01,111.41999816894531
2015-07-01,111.125
2015-08-01,111.54499816894531
2015-09-01,111.38999938964844
2015-10-01,111.57499694824219
2015-11-01,111.70999908447266
2015-12-01,111.88500213623047
2016-01-01,111.83000183105469
2016-02-01,111.8550033569336
2016-03-01,111.91000366210938
2016-04-01,111.86499786376953
2016-05-01,111.93499755859375
2016-06-01,111.93000030517578
2016-07-01,112.0999984741211
2016-08-01,112.01499938964844
2016-09-01,111.97000122070312
2016-10-01,112.05500030517578
2016-11-01,111.78500366210938
2016-12-01,111.58999633789062
2017-01-01,112.13999938964844
2017-02-01,111.87999725341797
2017-03-01,111.88500213623047
2017-04-01,111.94000244140625
2017-05-01,111.9800033569336
2017-06-01,112.08000183105469
2017-07-01,112.16000366210938
2017-08-01,112.23999786376953
2017-09-01,112.2699966430664
2017-10-01,112.19999694824219
2017-11-01,112.4000015258789
2017-12-01,112.5
2018-01-01,112.3550033569336
2018-02-01,112.21499633789062
2018-03-01,112.2300033569336
2018-04-01,112.5199966430664
2018-05-01,112.41999816894531
2018-06-01,111.69999694824219
2018-07-01,111.69999694824219
2018-08-01,111.54000091552734
2018-09-01,111.19499969482422
2018-10-01,111.2699966430664
2018-11-01,111.38999938964844
2018-12-01,111.69999694824219
2019-01-01,111.83999633789062
2019-02-01,111.93000030517578
2019-03-01,111.79499816894531
2019-04-01,111.97000122070312
2019-05-01,111.9749984741211
2019-06-01,111.91000366210938
2019-07-01,112.2699966430664
2019-08-01,112.3499984741211
2019-09-01,112.66000366210938
2019-10-01,112.45999908447266
2019-11-01,112.25
2019-12-01,111.97000122070312
2020-01-01,112.04000091552734
2020-02-01,112.0999984741211
2020-03-01,112.05999755859375
2020-04-01,111.54000091552734
2020-05-01,111.41999816894531
2020-06-01,111.51000213623047
2020-07-01,111.6500015258789
2020-08-01,111.75
2020-09-01,111.66999816894531
2020-10-01,111.80000305175781
2020-11-01,111.94000244140625
2020-12-01,111.93000030517578
2021-01-01,111.87000274658203
2021-02-01,111.58999633789062
2021-03-01,111.54000091552734
2021-04-01,111.58999633789062
2021-05-01,111.44499969482422
2021-06-01,111.41999816894531
2021-07-01,111.37999725341797
2021-08-01,111.54000091552734
2021-09-01,111.44000244140625
2021-10-01,111.33000183105469
2021-11-01,110.91999816894531
2021-12-01,111.19000244140625
2022-01-01,110.94499969482422
2022-02-01,110.77999877929688
2022-03-01,110.66999816894531
2022-04-01,109.91999816894531
2022-05-01,109.25
2022-06-01,109.1500015258789
2022-07-01,108.75
2022-08-01,109.12000274658203
2022-09-01,107.7300033569336
2022-10-01,106.66000366210938
2022-11-01,106.80999755859375
2022-12-01,107.05999755859375
2023-01-01,106.22000122070312
2023-02-01,106.5
2023-03-01,105.93000030517578
2023-04-01,106.91999816894531
2023-05-01,107.05999755859375
2023-06-01,107.2300033569336
2023-07-01,106.80000305175781
2023-08-01,107.26000213623047
2023-09-01,107.69000244140625
2023-10-01,107.41000366210938
2023-11-01,107.9800033569336
2023-12-01,108.94999694824219
2024-01-01,109.8949966430664
2024-02-01,109.87999725341797
2024-03-01,109.43000030517578
2024-04-01,109.80500030517578
2024-05-01,110.0
2024-06-01,109.93000030517578
2024-07-01,110.23999786376953
2024-08-01,111.27999877929688
2024-09-01,111.70999908447266
2024-10-01,112.68000030517578
2024-11-01,112.33000183105469
2024-12-01,113.4000015258789
2025-01-01,113.30999755859375
2025-02-01,113.2699966430664
2025-03-01,114.06999969482422
2025-04-01,114.19999694824219
2025-05-01,114.80000305175781
2025-06-01,114.97000122070312
2025-07-01,115.08999633789062
