Date,EUNM.DE
2009-10-01,17.6200008392334
2009-11-01,17.09000015258789
2009-12-01,17.219999313354492
2010-01-01,18.649999618530273
2010-02-01,18.510000228881836
2010-03-01,18.709999084472656
2010-04-01,20.549999237060547
2010-05-01,21.010000228881836
2010-06-01,20.56999969482422
2010-07-01,20.670000076293945
2010-08-01,21.389999389648438
2010-09-01,21.170000076293945
2010-10-01,21.93000030517578
2010-11-01,21.979999542236328
2010-12-01,23.239999771118164
2011-01-01,24.40999984741211
2011-02-01,22.719999313354492
2011-03-01,22.239999771118164
2011-04-01,23.1200008392334
2011-05-01,22.770000457763672
2011-06-01,22.350000381469727
2011-07-01,22.139999389648438
2011-08-01,22.520000457763672
2011-09-01,20.18000030517578
2011-10-01,17.940000534057617
2011-11-01,19.579999923706055
2011-12-01,19.889999389648438
2012-01-01,20.09000015258789
2012-02-01,22.209999084472656
2012-03-01,22.719999313354492
2012-04-01,22.09000015258789
2012-05-01,21.889999389648438
2012-06-01,20.809999465942383
2012-07-01,21.309999465942383
2012-08-01,22.229999542236328
2012-09-01,21.6299991607666
2012-10-01,22.3799991607666
2012-11-01,22.139999389648438
2012-12-01,22.1299991607666
2013-01-01,22.920000076293945
2013-02-01,22.479999542236328
2013-03-01,23.06999969482422
2013-04-01,22.979999542236328
2013-05-01,22.540000915527344
2013-06-01,22.0
2013-07-01,20.860000610351562
2013-08-01,20.719999313354492
2013-09-01,20.530000686645508
2013-10-01,21.149999618530273
2013-11-01,21.850000381469727
2013-12-01,21.719999313354492
2014-01-01,21.06999969482422
2014-02-01,19.799999237060547
2014-03-01,19.90999984741211
2014-04-01,20.950000762939453
2014-05-01,20.8700008392334
2014-06-01,22.0
2014-07-01,22.5
2014-08-01,23.260000228881836
2014-09-01,24.5
2014-10-01,23.3799991607666
2014-11-01,23.81999969482422
2014-12-01,23.43000030517578
2015-01-01,23.06999969482422
2015-02-01,25.079999923706055
2015-03-01,26.15999984741211
2015-04-01,26.770000457763672
2015-05-01,27.6299991607666
2015-06-01,27.18000030517578
2015-07-01,26.100000381469727
2015-08-01,24.209999084472656
2015-09-01,21.479999542236328
2015-10-01,21.600000381469727
2015-11-01,22.979999542236328
2015-12-01,23.350000381469727
2016-01-01,21.899999618530273
2016-02-01,20.59000015258789
2016-03-01,20.860000610351562
2016-04-01,21.950000762939453
2016-05-01,22.18000030517578
2016-06-01,21.93000030517578
2016-07-01,23.139999389648438
2016-08-01,24.270000457763672
2016-09-01,24.43000030517578
2016-10-01,24.75
2016-11-01,25.299999237060547
2016-12-01,24.959999084472656
2017-01-01,25.100000381469727
2017-02-01,26.020000457763672
2017-03-01,27.100000381469727
2017-04-01,27.729999542236328
2017-05-01,27.579999923706055
2017-06-01,27.59000015258789
2017-07-01,27.40999984741211
2017-08-01,28.110000610351562
2017-09-01,28.420000076293945
2017-10-01,28.700000762939453
2017-11-01,30.059999465942383
2017-12-01,29.09000015258789
2018-01-01,30.079999923706055
2018-02-01,31.44099998474121
2018-03-01,30.55299949645996
2018-04-01,29.798999786376953
2018-05-01,29.983999252319336
2018-06-01,30.020000457763672
2018-07-01,28.163999557495117
2018-08-01,29.270000457763672
2018-09-01,28.48699951171875
2018-10-01,28.572999954223633
2018-11-01,26.768999099731445
2018-12-01,28.492000579833984
2019-01-01,26.819000244140625
2019-02-01,29.195999145507812
2019-03-01,29.422000885009766
2019-04-01,30.19300079345703
2019-05-01,30.566999435424805
2019-06-01,28.66200065612793
2019-07-01,30.18899917602539
2019-08-01,29.764999389648438
2019-09-01,28.625999450683594
2019-10-01,29.541000366210938
2019-11-01,30.100000381469727
2019-12-01,30.358999252319336
2020-01-01,32.42599868774414
2020-02-01,30.89699935913086
2020-03-01,29.83799934387207
2020-04-01,24.30500030517578
2020-05-01,27.218000411987305
2020-06-01,26.849000930786133
2020-07-01,28.951000213623047
2020-08-01,29.895999908447266
2020-09-01,30.46299934387207
2020-10-01,30.69300079345703
2020-11-01,31.295000076293945
2020-12-01,33.62099838256836
2021-01-01,34.643001556396484
2021-02-01,36.928001403808594
2021-03-01,37.279998779296875
2021-04-01,37.70600128173828
2021-05-01,36.8129997253418
2021-06-01,37.702999114990234
2021-07-01,38.48699951171875
2021-08-01,36.319000244140625
2021-09-01,37.220001220703125
2021-10-01,35.77199935913086
2021-11-01,36.638999938964844
2021-12-01,36.374000549316406
2022-01-01,36.73699951171875
2022-02-01,36.76300048828125
2022-03-01,35.56800079345703
2022-04-01,34.92399978637695
2022-05-01,34.222999572753906
2022-06-01,33.96699905395508
2022-07-01,32.3390007019043
2022-08-01,33.499000549316406
2022-09-01,33.60499954223633
2022-10-01,30.673999786376953
2022-11-01,30.18899917602539
2022-12-01,32.49599838256836
2023-01-01,31.599000930786133
2023-02-01,33.34600067138672
2023-03-01,32.14699935913086
2023-04-01,31.709999084472656
2023-05-01,30.976999282836914
2023-06-01,31.36400032043457
2023-07-01,32.415000915527344
2023-08-01,33.553001403808594
2023-09-01,32.077999114990234
2023-10-01,31.881000518798828
2023-11-01,30.631999969482422
2023-12-01,31.8799991607666
2024-01-01,32.78499984741211
2024-02-01,32.20899963378906
2024-03-01,33.56800079345703
2024-04-01,34.354000091552734
2024-05-01,34.86399841308594
2024-06-01,35.38999938964844
2024-07-01,36.33700180053711
2024-08-01,36.38399887084961
2024-09-01,35.856998443603516
2024-10-01,37.891998291015625
2024-11-01,37.448001861572266
2024-12-01,37.553001403808594
2025-01-01,37.40399932861328
2025-02-01,38.05799865722656
2025-03-01,38.46200180053711
2025-04-01,37.672000885009766
