Date,8PSG.DE
2009-06-01,94.19850158691406
2009-07-01,93.8198013305664
2009-08-01,95.94450378417969
2009-09-01,95.44760131835938
2009-10-01,100.3958969116211
2009-11-01,106.08940124511719
2009-12-01,119.09829711914062
2010-01-01,111.97699737548828
2010-02-01,108.45829772949219
2010-03-01,111.17859649658203
2010-04-01,112.0990982055664
2010-05-01,118.20429992675781
2010-06-01,122.44139862060547
2010-07-01,123.0353012084961
2010-08-01,118.46859741210938
2010-09-01,124.22029876708984
2010-10-01,131.139892578125
2010-11-01,134.9176025390625
2010-12-01,137.97230529785156
2011-01-01,138.23379516601562
2011-02-01,132.52960205078125
2011-03-01,141.38150024414062
2011-04-01,141.072998046875
2011-05-01,153.19630432128906
2011-06-01,152.5146026611328
2011-07-01,147.4329071044922
2011-08-01,161.3112030029297
2011-09-01,180.9459991455078
2011-10-01,164.45899963378906
2011-11-01,168.74139404296875
2011-12-01,173.9636993408203
2012-01-01,158.63070678710938
2012-02-01,172.68699645996094
2012-03-01,170.06759643554688
2012-04-01,166.40370178222656
2012-05-01,165.02699279785156
2012-06-01,159.23519897460938
2012-07-01,157.8083038330078
2012-08-01,129.74000549316406
2012-09-01,133.3000030517578
2012-10-01,136.52000427246094
2012-11-01,131.39999389648438
2012-12-01,130.25
2013-01-01,126.12000274658203
2013-02-01,120.5999984741211
2013-03-01,119.04000091552734
2013-04-01,123.1500015258789
2013-05-01,143.85659790039062
2013-06-01,105.94000244140625
2013-07-01,94.47000122070312
2013-08-01,98.56999969482422
2013-09-01,104.26000213623047
2013-10-01,97.08000183105469
2013-11-01,96.51000213623047
2013-12-01,90.0
2014-01-01,120.90029907226562
2014-02-01,90.98999786376953
2014-03-01,133.12420654296875
2014-04-01,91.48999786376953
2014-05-01,126.06099700927734
2014-06-01,90.25
2014-07-01,130.82899475097656
2014-08-01,94.5
2014-09-01,96.5
2014-10-01,95.02999877929688
2014-11-01,92.12000274658203
2014-12-01,91.7300033569336
2015-01-01,96.95999908447266
2015-02-01,111.38999938964844
2015-03-01,107.16999816894531
2015-04-01,108.25
2015-05-01,115.61329650878906
2015-06-01,106.81999969482422
2015-07-01,103.66000366210938
2015-08-01,97.95999908447266
2015-09-01,99.55999755859375
2015-10-01,97.94999694824219
2015-11-01,101.47000122070312
2015-12-01,99.13999938964844
2016-01-01,96.33999633789062
2016-02-01,101.44999694824219
2016-03-01,111.91000366210938
2016-04-01,106.25
2016-05-01,110.81999969482422
2016-06-01,107.18000030517578
2016-07-01,117.83000183105469
2016-08-01,118.27999877929688
2016-09-01,114.80000305175781
2016-10-01,128.58349609375
2016-11-01,113.94999694824219
2016-12-01,107.86000061035156
2017-01-01,107.76000213623047
2017-02-01,109.5999984741211
2017-03-01,115.7300033569336
2017-04-01,114.5999984741211
2017-05-01,112.41999816894531
2017-06-01,110.05000305175781
2017-07-01,106.0
2017-08-01,104.91000366210938
2017-09-01,108.33999633789062
2017-10-01,105.98999786376953
2017-11-01,106.83000183105469
2017-12-01,104.3499984741211
2018-01-01,105.48999786376953
2018-02-01,105.0999984741211
2018-03-01,104.9000015258789
2018-04-01,104.91000366210938
2018-05-01,106.1500015258789
2018-06-01,108.27999877929688
2018-07-01,104.48999786376953
2018-08-01,101.77999877929688
2018-09-01,100.77999877929688
2018-10-01,99.69000244140625
2018-11-01,104.9000015258789
2018-12-01,105.41000366210938
2019-01-01,108.55000305175781
2019-02-01,111.98999786376953
2019-03-01,111.91999816894531
2019-04-01,111.55999755859375
2019-05-01,111.4000015258789
2019-06-01,114.12999725341797
2019-07-01,118.76000213623047
2019-08-01,123.72000122070312
2019-09-01,134.6699981689453
2019-10-01,130.63999938964844
2019-11-01,131.5
2019-12-01,128.30999755859375
2020-01-01,131.25
2020-02-01,138.05999755859375
2020-03-01,140.3000030517578
2020-04-01,140.5
2020-05-01,150.85000610351562
2020-06-01,151.1999969482422
2020-07-01,154.64999389648438
2020-08-01,162.5800018310547
2020-09-01,161.0
2020-10-01,156.63999938964844
2020-11-01,157.1199951171875
2020-12-01,145.02999877929688
2021-01-01,148.22999572753906
2021-02-01,148.77999877929688
2021-03-01,140.58999633789062
2021-04-01,141.67999267578125
2021-05-01,143.19000244140625
2021-06-01,151.5399932861328
2021-07-01,145.0500030517578
2021-08-01,147.33999633789062
2021-09-01,148.7899932861328
2021-10-01,146.6699981689453
2021-11-01,149.10000610351562
2021-12-01,151.99000549316406
2022-01-01,155.5800018310547
2022-02-01,154.82000732421875
2022-03-01,164.4600067138672
2022-04-01,168.7899932861328
2022-05-01,172.75999450683594
2022-06-01,165.4600067138672
2022-07-01,167.13999938964844
2022-08-01,167.13999938964844
2022-09-01,167.13999938964844
2022-10-01,167.13999938964844
2022-11-01,167.13999938964844
2022-12-01,167.13999938964844
2023-01-01,167.13999938964844
2023-02-01,167.13999938964844
2023-03-01,167.13999938964844
2023-04-01,167.13999938964844
2023-05-01,167.13999938964844
2023-06-01,167.13999938964844
2023-07-01,167.13999938964844
2023-08-01,167.13999938964844
2023-09-01,167.13999938964844
2023-10-01,167.13999938964844
2023-11-01,167.13999938964844
2023-12-01,167.13999938964844
2024-01-01,167.13999938964844
2024-02-01,167.13999938964844
2024-03-01,182.3800048828125
2024-04-01,198.4499969482422
2024-05-01,207.3000030517578
2024-06-01,206.52000427246094
2024-07-01,208.33999633789062
2024-08-01,217.8000030517578
2024-09-01,217.6999969482422
2024-10-01,229.10000610351562
2024-11-01,244.0399932861328
2024-12-01,241.13999938964844
2025-01-01,241.9600067138672
2025-02-01,263.05999755859375
